id,information
ld1,"Einzelhandel offen für lebenswichtige Bereiche, Sonntagskaufverbote ausgesetzt. Öffnung mit Hygieneauflagen. Schließungen im Publikumsverkehr: Bars, Clubs, Theater, Kinos, Sportanlagen, Spielplätze. Weitere Verbote: Zusammenkünfte in Vereinen, Bildungseinrichtungen, Kirchen. Länderregelungen für Besuchsregelungen in Einrichtungen, Beschränkungen für Risikogebietsbesucher. Auflagen für Mensen, Restaurants, Hotels. Übernachtungen nur notwendig, keine Touristen. Restaurants von 6-18 Uhr geöffnet. Ansammlungen von mehr als zwei Personen sind untersagt. In der Öffentlichkeit gilt ein Mindestabstand von 1,5 Metern. Draußen darf man nur alleine, mit einer weiteren nicht im Haushalt lebenden Person oder mit Angehörigen des eigenen Hausstands unterwegs sein. Restaurants, Einzelhandel, Freizeit- und Sporteinrichtungen, sowie Friseure und Kosmetikstudios sind zu diesem Zeitpunkt bereits geschlossen."
lld,"Teil-Lockdown beschlossen: Soziale Kontakte auf zehn Personen beschränkt (nur mit Personen aus einem weiteren Haushalt). Schließung von Gastronomie, Sport und Kultur. Schulen und Kitas bleiben offen. Zweites Online-Semester an Hochschulen. Ältere Menschen sollen Bus vermeiden und auf bereitgestellte Taxis umsteigen."
ld2,"Bundesweiter Lockdown: Strengere Regelungen - Gottesdienste mit Abstand und Maskenpflicht (ohne Gesang). Silvester: Ausgangsbeschränkungen, Pyrotechnikverkaufsverbot. Geschlossene Dienstleistungen (außer medizinische Behandlungen). Schulen schließen, Online-Unterricht für Abschlussklassen. Einzelhandel schließt, Ausnahmen für lebensnotwendige Bereiche. Weihnachtsausnahmen: Treffen mit vier Personen im Familienkreis, bei Freunden auf zwei Haushalte begrenzt. Home-Office empfohlen, Reisen werden abgeraten."
inz,"Stufenplan für Lockerungen (z. B. bei den Kontaktbeschränkungen und körpernahen Dienstleistungen sowie Öffnung von Geschäften, Museen, Galerien und botanischen Gärten) mit integrierter inzidenzabhängiger Notbremse."
bnb,"Bundesnotbremse tritt in Kraft (bei Inzidenz über 100), Schul- und Kitaschließungen ab Inzidenz über 165. Ende beendet auch Home-Office Pflicht."
tms,"Tübinger Modellprojekt 'Öffnen mit Sicherheit': Einzelhandel, Außengastronomie, körpernahe Dienstleistungen, Theater und Kinos durften öffnen, Gäste erlaubt mit tagesaktuellem negativem Corona-Schnelltest. Nur für Tübinger."
001,"Die ersten beiden Fälle im Landkreis Tübingen"
002,"DRK-Arztmobil bietet im Landkreis Tübingen Abstriche an"
003,"Offizielle COVID-19 Pandemie"
004,"Teststation auf Tübinger Festplatz"
005,"Einzelhandel offen für lebenswichtige Bereiche, Sonntagskaufverbote ausgesetzt. Öffnung mit Hygieneauflagen. Schließungen im Publikumsverkehr: Bars, Clubs, Theater, Kinos, Sportanlagen, Spielplätze. Weitere Verbote: Zusammenkünfte in Vereinen, Bildungseinrichtungen, Kirchen. Länderregelungen für Besuchsregelungen in Einrichtungen, Beschränkungen für Risikogebietsbesucher. Auflagen für Mensen, Restaurants, Hotels. Übernachtungen nur notwendig, keine Touristen. Restaurants von 6-18 Uhr geöffnet."
006,"Kontaktbeschränkungen und Abstandsregeln treten in Kraft. Eröffnung der Fieberambulanz am Tübinger Festplatz."
007,"Ausgangsbeschränkungen für Bewohner von Alten- und Pflegeheimen"
008,"Reisende aus dem Ausland in Quarantäne"
009,"Lockerungen der Verordnung, Einkaufen in größeren Geschäften erlaubt, SS in BW nur online, Demos erlaubt"
010,"Bund und Länder einigen sich auf weitere Lockerungen der Corona-Maßnahmen, Spielplätze, Museen, Zoos und Gotteshäusern öffnen, erste Impfstofftests in Deutschland"
011,"Geschäfte mit einer Verkaufsfläche von mehr als 800 qm können durch Abtrennung öffnen."
012,"Es gilt Maskenpflicht in Baden-Württemberg."
013,"Prüfungsjahrgänge kehren zum Präsenzunterricht zurück. Ausgangsbeschränkungen in Pflegeheimen aufgehoben. Erlaubnis für Gottesdienste Alle Ladengeschäfte, Friseure und Fußpflegestudios dürfen öffnen. Zahnärzte können wieder uneingeschränkt praktizieren."
014,"Ärzte, Psychotherapeuten und Krankenhäuser nehmen Regelbetrieb schrittweise wieder auf."
015,"Museen, Tierparks, Zoos und Spielplätze öffnen wieder"
016,"Drive-in-Teststation am Tübinger Festplatz geschlossen (Tests weiterhin in der Fieberambulanz). Maskenpflicht im Fernverkehr und Flughafengebäuden. Erste Lockerungen der Kontaktbeschränkungen."
017,"Tübinger Biotech-Firma Cegat bietet täglich 1.000 Corona-Antikörpertests an. Große Warteschlangen an Teststation."
018,"Stuttgart wird zum Zentrum einer Demo gegen die Beschränkungen und Bundesliga geht wieder los."
019,"Eingeschränkter Regelbetrieb in Kitas. Präsenzunterricht für 4. Klassen. Lockerung von Besuchsverboten in Krankenhäusern und Pflegeheimen. Wiedereröffnung von Gaststätten und Cafés."
020,"Hotels, Freizeitparks und Indoor-Spielplätze dürfen wieder öffnen"
021,"Öffentliche Veranstaltungen mit weniger als 100 Besuchern sind wieder erlaubt"
022,"Öffnung von Kneipen und Bars, Bolzplätzen, Sportanlagen, Sportstätten und Schwimmbädern (nur für Schwimmkurse)"
023,"Bäder und Seen dürfen unter Auflagen wieder öffnen"
024,"Private Feiern sind mit max. 99 Teilnehmenden möglich"
025,"Ausweitung des Unterrichts (rollierendes System aus Home-Schooling und Präsenz). Reisebusse dürfen wieder fahren."
026,"Corona-Warn-App"
027,"Regelbetrieb in Kitas und Grundschulen unter Pandemiebedingungen"
028,"Rückreise-Quarantäne nur noch für RKI-Risikogebiete"
029,"Letzter Öffnungstag der Fieberambulanz am Festplatz"
030,"Senkung der Mehrwertsteuer (bis 31.12.2020). Neue Corona- verordnung: Weitere Lockerungen von Kontaktbe- schränkungen, Veranstaltungen, Besuchszeiten und Ausgang in Pflegeheimen. Abstandsregelungen und Maskenpflicht bleiben."
031,"Kostenlose Tests für Einreisende (seit 8. August verpflichtende Testung für Einreisende aus Risikogebieten)"
032,"Einstellung kostenloser Tests für Einreisende aus Nicht- Risikogebieten"
033,"Es gelten wieder differenzierte Reise- und Sicherheits- hinweise und Reisewarnungen (ab Inzidenz von 50) für einzelne Länder"
034,"Aktualisierung der Nationalen Teststrategie (kostenlose Antigen-Schnelltests in Pflegeheimen und Krankenhäusern)"
035,"Landkreise mit Inzidenz über 50 Fällen/100.000 Einwohner, darunter LK Tübingen, müssen Sperrstunde von 23 Uhr bis 6 Uhr für Gastronomie verhängen. Allgemeines Verbot von Außenabgabe von Alkohol."
036,"Coronavirus- Testverordnung (Ausweitung des Testanspruchs) und teilweise Verschärfung der Maßnahmen vom 2. November"
037,"Nachts, von 20 bis 5 Uhr, dürfen nur Personen mit triftigen Gründen das Haus verlassen. Einigung auf harten Lockdown ab 16. Dezember: Schließung aller Einzelhandelsgeschäfte außer für den täglichen Bedarf, sowie Schließung von Schulen und Kitas im Südwesten."
038,"Beginn bundesweiter Impfaktionen."
039,"Erste Impfungen im Impfzentrum in der Paul Horn Arena."
040,"Berichte über die Gamma-Variante, verschärfte Kontaktbeschränkungen, Zwei-Test-Strategie bei Einreise."
041,"Erweiterte Testpflicht für Pflegeeinrichtungen, inklusive Tests für Besucher und externe Dritte."
042,"Sukzessive Lockdown-Ausweitung ab 20. Januar, u.a. Verpflichtung zum Tragen medizinischer Masken."
043,"Beginn der Kreisimpfzentren."
044,"Arbeitgeber müssen Homeoffice-Angebote machen."
045,"Öffnung von Grundschulen und Kitas mit anlasslosen Schnelltests für Schul- und Kitapersonal. Impfangebot erweitert."
046,"Erweiterung des Schnelltestangebots auf Kontaktpersonen von vulnerablen Gruppen und Personen mit hohem Expositionsrisiko."
047,"Ausweitung der Bürgertestungen."
048,"Bei Virusvarianten entfällt die Absonderungspflicht für Haushaltsangehörige von Kontaktpersonen."
049,"Maskenpflicht an Grundschulen und Wechselunterricht für 5. und 6. Klasse."
050,"Beginn der Corona-Impfungen in Hausarztpraxen."
051,"Vollständig Geimpfte und Genesene: werden negativ Getesteten gleichgestellt, Kontaktpersonen-Quarantäne, Ausgangs- und Kontaktbeschränkungen gelten nicht mehr für sie"
052,"Schulen öffnen für Wechselunterricht."
053,"Neue Öffnungsschritte bei Inzidenz unter 100."
054,"Aufhebung der Impfpriorisierung in Arztpraxen."
055,"Delta-Variante breitet sich in Deutschland aus."
056,"Aufhebung der Priorisierung in Impfzentren, inzidenzabhängige Öffnungsschritte."
057,"Öffnung von Freizeitparks."
058,"Einführung des digitalen Impfnachweises."
059,"Die Hälfte der Impfberechtigten in Baden-Württemberg hat mindestens eine Corona-Impfung erhalten."
060,"Lockerung der Maskenpflicht an Schulen, Testpflicht bleibt bestehen."
061,"Neue Corona-Verordnung mit vier neuen Inzidenzstufen für Lockerungen."
062,"Lockerungen für Besucher in Krankenhäusern und Pflegeheimen, Start von Ferienlagern und -programmen. Verlängerung der Kreisimpfzentren, Ende der Zentralen Impfzentren am 15. August."
063,"Verlängerung und Erweiterung der Teststrategie nach den Sommerferien, regelmäßige Tests in Schulen, Kitas und der Kindertagespflege."
064,"STIKO empfiehlt Corona-Impfung für alle 12- bis 17-jährigen Kinder und Jugendliche"
065,"Fünftägige Testung bei Auftreten eines positiven Falles in weiterführenden Schulklassen"
066,"Auffrischungsimpfungen (Booster) in Baden-Württemberg für bestimmte Personengruppen (z.B. Personen ab 80 Jahren oder in Pflegeeinrichtungen)"
067,"STIKO empfiehlt Corona-Impfung für Schwangere"
068,"Dauer der Quarantäne von haushaltsangehörigen Personen und Kontaktpersonen wird auf 10 Tage verkürzt"
069,"Auffrischungsimpfung in Baden-Württemberg für alle ab 60 Jahren empfohlen"
070,"Weitere Impfzentren schließen"
071,"Vorläufiges Ende der kostenlosen Bürgertests"
072,"Einführung des 2G-Optionsmodells, Lockerung der Maskenpflicht in vielen Bereichen (für Geimpfte und Genesene)"
073,"Lockerung der Maskenpflicht in Schulen"
074,"Gesundheitsminister Lucha empfiehlt Booster-Impfungen für alle Erwachsenen"
075,"Warnstufe ausgerufen"
076,"Positiv Getestete werden nicht mehr von den Gesundheitsämtern kontaktiert, stattdessen Fokussierung auf schutzbedürftige Gruppen"
077,"Unter bestimmten Voraussetzungen Ausnahme von der Maskenpflicht in Clubs und Diskotheken"
078,"Alarmstufe: u.a. in den Schulen wieder Maskenpflicht am Platz, Kontaktbeschränkungen für nicht geimpfte und nicht genesene Personen, 2G in vielen Bereichen"
079,"Errichtung von Impfstützpunkten"
080,"3G-Regel im öffentlichen Personennahverkehr, Verschärfung der Corona-Verordnung und Einführung der „Alarmstufe II“"
081,"Erste Meldungen über Omikron-Fälle in Baden-Württemberg"
082,"Schließung von Clubs und Diskotheken, Schließung von Weihnachtsmärkten, An- und Versammlungsverbot an Silvester und Neujahr, Verkaufsverbot von Pyrotechnik, Geboosterte brauchen bei 2G+ keinen Testnachweis"
083,"Neue Quarantäne-Regeln (10 Tage für Infizierte und 14 Tage für Kontaktpersonen)"
084,"STIKO empfiehlt Corona-Impfung für 5- bis 11-Jährige mit Vorerkrankungen oder auf Wunsch der Eltern"
085,"Kontaktbeschränkungen nun auch für Geimpfte und Genesene in der Alarmstufe II, strengere Besuchsregeln für nicht Immunisierte in Alten- und Pflegeheimen"
086,"Bund übernimmt Haftung für Auffrischungsimpfungen bei Jugendlichen"
087,"FFP2-Maskenpflicht in Innenräumen, Sperrstunde in der Gastronomie"
088,"Ausweitung der Testpflicht an Schulen und Kitas"
089,"Kontaktpersonenquarantäne wird auf 10 Tage verkürzt, frisch genesene/geimpfte Kontaktpersonen oder solche mit Auffrischungsimpfung sind von der Quarantäne befreit"
090,"Auch Genesene mit mindestens einer Impfung müssen nicht mehr in Kontaktpersonenquarantäne"
091,"Gruppen-Quarantäne bei Häufungen in Schulklassen oder Kita-Gruppen entfällt"
092,"Zweite Auffrischungsimpfung wird für bestimmte Personengruppen empfohlen"
093,"Start der Corona-Impfungen in Apotheken"
094,"Vorsichtige Öffnungsschritte mit neuer Corona-Verordnung"
095,"Das digitale Meldeportal zur einrichtungsbezogenen Impfpflicht geht online"
096,"In medizinischen und pflegerischen Einrichtungen gilt eine einrichtungsbezogene Impfpflicht gegen COVID-19"
097,"Die meisten Schutzmaßnahmen werden aufgehoben (Maskenpflicht im Nahverkehr und im medizinischen Bereich bleiben erhalten)"
098,"Quarantäne für positiv Getestete wird verkürzt (nur noch 5 Tage – sofern die Betroffenen seit mindestens 48 Stunden keine Krankheitssymptome haben), Kontaktpersonenquarantäne entfällt komplett"
099,"STIKO empfiehlt Corona-Impfung für alle 5- bis 11-Jährigen"
100,"Änderung der Maskenpflicht in Pflegeeinrichtungen, medizinische Masken für Beschäftigte ausreichend, Besucher ab 6 bis 14 Jahren mit medizinischer Maske, ab 14 Jahren mit FFP2-Maske."
101,"Omikron-Subvarianten BA.4/BA.5 breiten sich in Baden-Württemberg aus, steigende 7-Tages-Inzidenz, bisher keine Hinweise auf schwerere Krankheitsverläufe oder Überlastung des Gesundheitssystems."
102,"Verhängung erster Bußgelder wegen Verstoß gegen die einrichtungsbezogene Impfpflicht in Baden-Württemberg."
103,"Kostenlose Corona-Bürgertests nur noch für Risikogruppen und Ausnahmefälle."
104,"Anpassung der Regelungen zum Tätigkeitsverbot bei asymptomatisch positiv getestetem medizinischem Personal."
105,"Wiedereinführung telefonischer Krankschreibungen bei Erkältungssymptomen."
106,"Start des Impfterminportals in Baden-Württemberg, gezielte Suche und Buchung von Corona-Impfterminen."
107,"Studie der Bertelsmann Stiftung zeigt Beeinträchtigung des gesellschaftlichen Zusammenhalts unter der Corona-Pandemie."
108,"Ende der FFP2-Maskenpflicht im öffentlichen Personenfernverkehr, bundesweite Masken- und Testnachweispflicht in Krankenhäusern und Pflegeeinrichtungen bis 7. April."
109,"Änderung der Corona-Verordnung Absonderung mit Maskenpflicht anstelle von Isolationspflicht bei Kontakt mit Nicht-Haushaltsmitgliedern."
110,"Christian Drosten erklärt das Ende der Pandemie und das Eintreten einer ersten endemischen Welle."
111,"Übernahme aller Corona-Schutzimpfungen in Baden-Württemberg durch Arztpraxen, Zahnarztpraxen und Apotheken ab 1. Januar 2023. Stadt Mannheim bearbeitet ab 2023 Entschädigungsanträge wegen Corona-Absonderungen für ganz Baden-Württemberg."
112,"Ende der Maskenpflicht im öffentlichen Personennahverkehr und für Personal in medizinischen Einrichtungen."
113,"Baden-Württemberg unterstützt die Long-COVID-Forschung mit zwei Millionen Euro."
114,"Teststellen können letztmals kostenfreie Bürgertests für Risikogruppen und Ausnahmefälle durchführen."
115,"Zum 1. März 2023 hebt Baden-Württemberg die Corona-Verordnung auf, Maskenpflicht bleibt für spezifische Fälle."
116,"Mit Ablauf des 7. April 2023 entfallen die verbliebenen Corona-Schutzmaßnahmen nach dem Infektionsschutzgesetz."
117,"STIKO empfiehlt jährliche Auffrischimpfung für Personen mit erhöhtem Risiko und Basisimmunität für Gesunde zwischen 18 und 59 Jahren. Corona-Warn-App sendet zum letzten Mal Warnungen nach Risikobegegnungen."
118,"Corona-Warn-App sendet zum letzten Mal Warnungen nach Risikobegegnungen."
