day,holiday,calendar_week,class,start,end,abbreviation
Sunday,Neujahr,52,1,2023-01-01,2023-01-01,NEJ
Friday,Heilige drei Könige,1,1,2023-01-06,2023-01-06,HdK
Tuesday,Valentinstag,7,5,2023-02-14,2023-02-14,VLT
Wednesday,Aschermittwoch,8,5,2023-02-22,2023-02-22,ASM
Sunday,Palmsonntag,13,5,2023-04-02,2023-04-02,PLM
Friday,Karfreitag,14,1,2023-04-07,2023-04-07,KRF
Sunday,Ostern,14,4,2023-04-09,2023-04-09,OST
Monday,Ostermontag,15,1,2023-04-10,2023-04-10,OSM
Monday,Tag der Arbeit,18,1,2023-05-01,2023-05-01,TdA
Tuesday,Europatag,19,5,2023-05-09,2023-05-09,EUT
Sunday,Muttertag,19,5,2023-05-14,2023-05-14,MUT
Thursday,Christi Himmelfahrt,20,1,2023-05-18,2023-05-18,CRH
Sunday,Pfingsten,21,4,2023-05-28,2023-05-28,PFG
Monday,Pfingstmontag,22,1,2023-05-29,2023-05-29,PFM
Thursday,Fronleichnam,23,1,2023-06-08,2023-06-08,FRL
Tuesday,Tag der Deutschen Einheit,40,1,2023-10-03,2023-10-03,TDE
Wednesday,Allerheiligen,44,1,2023-11-01,2023-11-01,ALH
Sunday,Volkstrauertag,46,4,2023-11-19,2023-11-19,VLT
Sunday,Ewigkeitssonntag,47,5,2023-11-26,2023-11-26,EWS
Sunday,Erster Advent,48,5,2023-12-03,2023-12-03,ESA
Wednesday,St. Nikolaus,49,5,2023-12-06,2023-12-06,STN
Sunday,Zweiter Advent,49,5,2023-12-10,2023-12-10,AD2
Sunday,Dritter Advent,50,5,2023-12-17,2023-12-17,AD3
Sunday,Heiliger Abend,51,5,2023-12-24,2023-12-24,HAB
Sunday,Vierter Advent,51,5,2023-12-24,2023-12-24,AD4
Monday,Weihnachten,52,1,2023-12-25,2023-12-25,WHN
Tuesday,Zweiter Weihnachtsfeiertag,52,1,2023-12-26,2023-12-26,WF2
Sunday,Silvester,52,5,2023-12-31,2023-12-31,SLV
Saturday,Neujahr,52,1,2022-01-01,2022-01-01,NEJ
Thursday,Heilige drei Könige,1,1,2022-01-06,2022-01-06,HdK
Monday,Valentinstag,7,5,2022-02-14,2022-02-14,VLT
Wednesday,Aschermittwoch,9,5,2022-03-02,2022-03-02,ASM
Sunday,Palmsonntag,14,5,2022-04-10,2022-04-10,PLM
Friday,Karfreitag,15,1,2022-04-15,2022-04-15,KRF
Sunday,Ostern,15,4,2022-04-17,2022-04-17,OST
Monday,Ostermontag,16,1,2022-04-18,2022-04-18,OSM
Sunday,Tag der Arbeit,17,1,2022-05-01,2022-05-01,TdA
Sunday,Muttertag,18,5,2022-05-08,2022-05-08,MUT
Monday,Europatag,19,5,2022-05-09,2022-05-09,EUT
Thursday,Christi Himmelfahrt,21,1,2022-05-26,2022-05-26,CRH
Sunday,Pfingsten,22,4,2022-06-05,2022-06-05,PFG
Monday,Pfingstmontag,23,1,2022-06-06,2022-06-06,PFM
Thursday,Fronleichnam,24,1,2022-06-16,2022-06-16,FRL
Monday,Tag der Deutschen Einheit,40,1,2022-10-03,2022-10-03,TDE
Tuesday,Allerheiligen,44,1,2022-11-01,2022-11-01,ALH
Sunday,Volkstrauertag,45,4,2022-11-13,2022-11-13,VLT
Sunday,Ewigkeitssonntag,46,5,2022-11-20,2022-11-20,EWS
Sunday,Erster Advent,47,5,2022-11-27,2022-11-27,ESA
Sunday,Zweiter Advent,48,5,2022-12-04,2022-12-04,AD2
Tuesday,St. Nikolaus,49,5,2022-12-06,2022-12-06,STN
Sunday,Dritter Advent,49,5,2022-12-11,2022-12-11,AD3
Sunday,Vierter Advent,50,5,2022-12-18,2022-12-18,AD4
Saturday,Heiliger Abend,51,5,2022-12-24,2022-12-24,HAB
Sunday,Weihnachten,51,1,2022-12-25,2022-12-25,WHN
