semester,start,end
WS 2013/2014,2013-10-14,2014-02-08
SS 2014,2014-04-07,2014-07-19
WS 2014/2015,2014-10-13,2015-02-14
SS 2015,2015-04-13,2015-07-25
WS 2015/2016,2015-10-12,2016-02-13
SS 2016,2016-04-11,2016-07-23
WS 2016/2017,2016-10-17,2017-02-11
SS 2017,2017-04-18,2017-07-29
WS 2017/2018,2017-10-16,2018-02-10
SS 2018,2018-04-16,2018-07-28
WS 2018/2019,2018-10-15,2019-02-09
SS 2019,2019-04-15,2019-07-27
WS 2019/2020,2019-10-14,2020-02-08
SS 2020,2020-04-20,2020-07-25
WS 2020/2021,2020-11-02,2021-02-27
SS 2021,2021-04-19,2021-07-31
WS 2021/2022,2021-10-18,2022-02-12
SS 2022,2022-04-19,2022-07-30
WS 2022/2023,2022-10-17,2023-02-12
SS 2023,2023-04-17,2023-07-29
WS 2023/2024,2023-10-16,2024-02-10
