semester,start,end
WS 2013/2014,2013-10-01,2014-03-31
SS 2014,2014-04-01,2014-09-30
WS 2014/2015,2014-10-01,2015-03-31
SS 2015,2015-04-01,2015-09-30
WS 2015/2016,2015-10-01,2016-03-31
SS 2016,2016-04-01,2016-09-30
WS 2016/2017,2016-10-01,2017-03-31
SS 2017,2017-04-01,2017-09-30
WS 2017/2018,2017-10-01,2018-03-31
SS 2018,2018-04-01,2018-09-30
WS 2018/2019,2018-10-01,2019-03-31
SS 2019,2019-04-01,2019-09-30
WS 2019/2020,2019-10-01,2020-03-31
SS 2020,2020-04-01,2020-09-30
WS 2020/2021,2020-10-01,2021-03-31
SS 2021,2021-04-01,2021-09-30
WS 2021/2022,2021-10-01,2022-03-31
SS 2022,2022-04-01,2022-09-30
WS 2022/2023,2022-10-01,2023-03-31
SS 2023,2023-04-01,2023-09-30
WS 2023/2024,2023-10-01,2024-03-31
