semester,start,end,type,abbreviation
WS 2013/2014,2013-12-23,2014-01-06,Weihnachtspause,WP
SS 2014,2014-06-09,2014-06-14,Pfingstpause,PP
WS 2014/2015,2014-12-22,2015-01-05,Weihnachtspause,WP
SS 2015,2015-05-25,2015-05-30,Pfingstpause,PP
WS 2015/2016,2015-12-24,2016-01-03,Weihnachtspause,WP
SS 2016,2016-05-16,2016-05-21,Pfingstpause,PP
WS 2016/2017,2016-12-24,2017-01-07,Weihnachtspause,WP
SS 2017,2017-06-05,2017-06-11,Pfingstpause,PP
WS 2017/2018,2017-12-23,2018-01-07,Weihnachtspause,WP
SS 2018,2018-05-21,2018-05-27,Pfingstpause,PP
WS 2018/2019,2018-12-22,2019-01-06,Weihnachtspause,WP
SS 2019,2019-06-10,2019-06-16,Pfingstpause,PP
WS 2019/2020,2019-12-23,2020-01-06,Weihnachtspause,WP
SS 2020,2020-06-01,2020-06-07,Pfingstpause,PP
WS 2020/2021,2020-12-24,2021-01-06,Weihnachtspause,WP
SS 2021,2021-05-24,2021-05-30,Pfingstpause,PP
WS 2021/2022,2021-12-24,2022-01-08,Weihnachtspause,WP
SS 2022,2022-06-06,2022-06-11,Pfingstpause,PP
WS 2022/2023,2022-12-24,2023-01-07,Weihnachtspause,WP
SS 2023,2023-05-29,2023-06-03,Pfingstpause,PP
WS 2023/2024,2023-12-23,2024-01-06,Weihnachtspause,WP
